iter	Passed	Remaining
401	17613	4293
402	17664	4251
403	17708	4207
404	17753	4164
405	17791	4119
406	17831	4074
407	17875	4030
408	17912	3985
409	17955	3941
410	17994	3896
411	18037	3852
412	18081	3808
413	18123	3764
414	18162	3719
415	18203	3675
416	18246	3631
417	18292	3588
418	18336	3544
419	18380	3500
420	18428	3458
421	18475	3414
422	18519	3371
423	18564	3327
424	18600	3282
425	18646	3239
426	18687	3194
427	18726	3150
428	18772	3106
429	18809	3062
430	18847	3017
431	18885	2972
432	18928	2928
433	18970	2884
434	19009	2840
435	19052	2796
436	19092	2752
437	19133	2708
438	19177	2664
439	19222	2621
440	19264	2577
441	19302	2532
442	19347	2489
443	19383	2444
444	19428	2401
445	19467	2357
446	19508	2313
447	19548	2268
448	19588	2224
449	19630	2181
450	19668	2136
451	19716	2093
452	19759	2050
453	19801	2006
454	19844	1962
455	19889	1919
456	19930	1875
457	19977	1832
458	20018	1788
459	20061	1744
460	20105	1700
461	20144	1656
462	20188	1613
463	20232	1569
464	20272	1525
465	20318	1482
466	20361	1438
467	20405	1395
468	20441	1351
469	20477	1307
470	20522	1263
471	20563	1219
472	20604	1176
473	20648	1132
474	20691	1089
475	20735	1045
476	20784	1002
477	20828	958
478	20871	915
479	20911	871
480	20954	827
481	20994	784
482	21034	740
483	21074	696
484	21130	653
485	21197	610
486	21241	567
487	21285	523
488	21324	479
489	21368	436
490	21425	392
491	21481	349
492	21532	305
493	21577	262
494	21619	218
495	21659	174
496	21713	131
497	21768	87
498	21816	43
499	21869	0
