iter	Logloss
144	0.1438901194
145	0.1437099547
146	0.1435376408
147	0.1432349402
148	0.1428990313
149	0.1425880525
150	0.1424244813
151	0.1420555994
152	0.1419137061
153	0.1415440669
154	0.1412450648
155	0.1409071233
156	0.1405643553
157	0.1402177256
158	0.1399823805
159	0.1398628503
160	0.1396860928
161	0.1394017385
162	0.1391062207
163	0.1388314279
164	0.1386096531
165	0.1383389756
166	0.1381155237
167	0.1378351139
168	0.1375816939
169	0.1373006103
170	0.1370734492
171	0.1368735746
172	0.1366180466
173	0.136391443
174	0.1362901686
175	0.1361467085
176	0.135992184
177	0.1358542691
178	0.1356389396
179	0.1355549335
180	0.1354392317
181	0.1352688782
182	0.1350677594
183	0.1349433949
184	0.1347228911
185	0.1346439032
186	0.1344810969
187	0.1344065935
188	0.1341986481
189	0.1340900707
190	0.134014984
191	0.1338538768
192	0.1337727697
193	0.1335966985
194	0.1334800317
195	0.1333125532
196	0.1332154745
197	0.13311258
198	0.1330416739
199	0.1329671825
200	0.1328507269
201	0.1327367272
202	0.1325776967
203	0.1323981597
204	0.1322277639
205	0.1320548631
206	0.131936314
207	0.1318485501
208	0.1317671112
209	0.1316327224
210	0.131517075
211	0.1313937789
212	0.1313369884
213	0.131202973
214	0.1311191857
215	0.1310161408
216	0.1309031812
217	0.1307674698
218	0.1307109343
219	0.1306060061
220	0.1305476885
221	0.1304607681
222	0.1303603941
223	0.1302269376
224	0.1301084233
225	0.1300533268
226	0.1299897811
227	0.1298745048
228	0.1298306984
229	0.1297253404
230	0.1296429146
231	0.1295543417
232	0.1295090371
233	0.129387784
234	0.1292804493
235	0.1291746738
236	0.1290576685
237	0.1290146818
238	0.1289110279
239	0.1288317189
240	0.128781139
241	0.1287456351
242	0.128703225
243	0.1285997612
244	0.1285209616
245	0.128424213
246	0.1283620502
247	0.1282578884
248	0.1282248691
249	0.1281647233
250	0.1281269417
251	0.1280446793
252	0.1279866819
253	0.1279268468
254	0.1278461995
255	0.1277591001
256	0.1276726966
257	0.1275980647
258	0.1275567398
259	0.127479422
260	0.1274336481
261	0.1273513702
262	0.1272926886
263	0.127219677
264	0.1271810728
265	0.1271069759
266	0.1270338415
267	0.1269636207
268	0.1268860562
269	0.1268331826
270	0.1267832849
271	0.1267466832
272	0.12670608
273	0.1266523063
274	0.1266142185
275	0.1265396096
276	0.1265019479
277	0.1264567447
278	0.1263780023
279	0.1263020297
280	0.1262517508
281	0.1262257432
282	0.1261778567
283	0.1261077299
284	0.1260793742
285	0.1260103875
286	0.1259671844
287	0.1259015839
288	0.125859275
289	0.125792526
290	0.1257532356
291	0.1257199136
292	0.1256623503
293	0.1256201035
294	0.1255780646
295	0.125553219
296	0.1254977861
297	0.125467009
298	0.1254116321
299	0.1253493912
300	0.125287018
301	0.1252578757
302	0.1251962574
303	0.1251618603
304	0.1250905862
305	0.1250527165
306	0.1249991446
307	0.1249658383
308	0.1249139469
309	0.1248845079
310	0.1248550754
311	0.1248372505
312	0.1247946443
313	0.1247454969
314	0.1246749174
315	0.1246462949
316	0.124626441
317	0.1245810821
318	0.124542378
319	0.1244925892
320	0.1244563633
321	0.1244151161
322	0.124382077
323	0.1243412548
324	0.1242952635
325	0.1242441614
326	0.124214207
327	0.1241811789
328	0.1241280043
329	0.1241018994
330	0.1240774742
331	0.124025812
332	0.1239840389
333	0.1239427436
334	0.1238863906
335	0.1238506407
336	0.12382253
337	0.1237885846
338	0.1237427605
339	0.1237076713
340	0.1236579123
341	0.1236234529
342	0.123580393
343	0.1235341698
344	0.1235095684
345	0.1234732841
346	0.1234309374
347	0.123406843
348	0.1233695899
349	0.1233325253
350	0.1232928165
351	0.1232717047
352	0.1232360473
353	0.1232053403
354	0.1231729604
355	0.1231345674
356	0.1230998409
357	0.1230639526
358	0.1230435865
359	0.1230085911
360	0.1229826304
361	0.122965573
362	0.1229423144
363	0.1229066274
364	0.1228751984
365	0.1228604993
366	0.1228341455
367	0.1228045824
368	0.1227783838
369	0.1227477133
370	0.1227183778
371	0.1226840691
372	0.1226565535
373	0.1226360014
374	0.1226041184
375	0.1225857447
376	0.1225631235
377	0.1225388794
378	0.1225197967
379	0.1224755524
380	0.1224456093
381	0.1224163403
382	0.1223890077
383	0.1223488835
384	0.1223269092
385	0.1223030527
386	0.1222756655
387	0.1222468947
388	0.1222272365
389	0.1222040756
390	0.1221779667
391	0.1221537654
392	0.1221357871
393	0.1221200667
394	0.122092954
395	0.1220758557
396	0.1220607608
397	0.122037087
398	0.1220174723
399	0.1219949528
400	0.1219708247
401	0.1219383234
402	0.1219047051
403	0.121885324
404	0.1218608678
405	0.1218463099
406	0.1218280726
407	0.1218089573
408	0.1217895191
409	0.1217586387
410	0.1217442875
411	0.1217207867
412	0.1216938892
413	0.1216779311
414	0.1216509063
415	0.1216356882
416	0.1216183491
417	0.1215892835
418	0.1215566341
419	0.1215349899
420	0.1214991544
421	0.1214733809
422	0.1214523485
423	0.1214290476
424	0.1214113417
425	0.1213823797
426	0.1213618812
427	0.1213487986
428	0.1213309941
429	0.1213183064
430	0.1212949479
431	0.1212824488
432	0.1212635013
433	0.1212299471
434	0.1212069971
435	0.1211796223
436	0.1211544937
437	0.1211416924
438	0.1211179318
439	0.1210891714
440	0.1210698346
441	0.1210523951
442	0.1210222712
443	0.1210052743
444	0.1209797159
445	0.1209596861
446	0.12094456
447	0.1209316546
448	0.1209140774
449	0.1208900779
450	0.1208698121
451	0.1208513571
452	0.1208299421
453	0.1208079839
454	0.1207895539
455	0.1207710517
456	0.1207516944
457	0.1207257281
458	0.1207109979
459	0.1206920726
460	0.1206754226
461	0.1206565889
462	0.1206353294
463	0.1206181803
464	0.1206076715
465	0.1205880291
466	0.120570229
467	0.1205505451
468	0.1205427928
469	0.1205289874
470	0.1205138593
471	0.1204969254
472	0.1204819428
473	0.1204608574
474	0.1204401998
475	0.1204232643
476	0.1203963073
477	0.1203717198
478	0.1203518104
479	0.1203384193
480	0.1203223829
481	0.1203074439
482	0.1202945152
483	0.1202686512
484	0.1202539624
485	0.120239384
486	0.120228507
487	0.1202123568
488	0.1201951722
489	0.1201768468
490	0.1201583273
491	0.1201426407
492	0.1201299145
493	0.1201079836
494	0.1200922062
495	0.1200765258
496	0.120059351
497	0.1200347471
498	0.1200201831
499	0.1200058825
